"Add New Category","Lägg till Ny Kategory"
"Featured Image","Utvald Bild"
"Publish Date","Utgivningsdatum"
"New Tag","Ny Tagg"
"Open Graph Metadata","Open Graph Metadata"
"OG Title","OG Titel"
"Leave blank to use Meta Title by default.","Lämna tomt för att använda Meta Titel som standard."
"OG Description","OG Beskrivning"
"Leave blank to use Meta Description by default.","Lämna tomt för att använda Meta Beskrivning som standard."
"OG Image","OG Bild"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Lämna tomt för att använda Utvald Bild som standard. Tillåt bildtyp: jpg, jpeg, gif, png."
"OG Type","OG Typ"
"Leave blank to use ""article"" type by default.","Lämna tomt för att använda ""artikel"" typ som standard."
"Post in Websites","Inlägg på Webbplatser"
"Related Posts and Products","Relaterade Inlägg och Produkter"
"Related posts are shown to customers in addition to the item the customer is looking at.","Relaterade inlägg visas för kunder utöver det objekt kunden tittar på."
"Add Related Post","Lägg Till Relaterat Inlägg"
"Add Related Posts","Lägg Till Relaterade Inlägg"
"Add Selected Posts","Lägg Till Valda Inlägg"
"January","Januari"
"February","Februari"
"March","Mars"
"April","April"
"May","Maj"
"June","Juni"
"July","Juli"
"August","Augusti"
"September","September"
"October","Oktober"
"November","November"
"December","December"
"Jan","Jan"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","Maj"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Okt"
"Nov","Nov"
"Dec","Dec"
"Reply","Svara"
"Show more replies in this thread","Visa fler svar i den här tråden"
"%1 Comment(s)","%1 Kommentar(er)"
"Add a comment...","Lägg till en kommentar..."
"Add a reply...","Lägg till ett svar..."
"Sign in to add a comment...","Logga in för att lägga till en kommentar..."
"Sign in to add a reply...","Logga in för att lägga till ett svar..."
"Full Name","Fullständigt Namn"
"Load more comments","Ladda fler kommentarer"
"Login to submit comment","Logga in för att skicka kommentar"
"You cannot post comment. Blog post is not longer exist.","Du kan inte posta kommentaren. Blogginlägget finns inte längre."
"You cannot reply to this comment. Comment is not longer exist.","Du kan inte svara på den här kommentaren. Kommentaren finns inte längre."
"You cannot reply to this comment.","Du kan inte svara på den här kommentaren."
"You submitted your comment for moderation.","Du skickade in din kommentar för moderering."
"Thank you for your comment.","Thank you for your comment."
"Import Categories","Importera Kategorier"
"Import Comments","Importera Kommentarer"
"Import Posts","Importera Inlägg"
"Import from aheadWorks Blog Extension","Importera från aheadWorks Blogg Tillägg"
"Import from Joomla","Importera från Joomla"
"Import from Blogger.com","Importera från Blogger.com"
"Import from Drupal","Importera från Drupal"
"Import from CSV","Importera från CSV"
"Import from XML","Importera från XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Ja, jag har läst %1 och samtycker till behandlingen av mina personuppgifter."
"privacy policy","integritetspolicy"
"Posts","Inlägg"
"Hantera Posts","Hantera Inlägg"
"Leave a review about the blog extension","Lämna en recension om bloggtillägget"
"Suggest a new blog feature","Föreslå en ny bloggfunktion"
"Hantera Categories","Hantera Kategorier"
"Hantera Tags","Hantera Taggar"
"Import Tags","Importera Taggar"
"Add New Tag","Lägg Till Ny Tagg"
"Hantera Comments","Hantera Kommentarer"
"Enable Extension","Aktivera Tillägg"
"Display Mode","Visningsläge"
"Posts Sort By","Sortera Inläggen Efter"
"Default Short Content Length","Kort Innehållslängd Standard"
"Tag","Tagg"
"Display Number Of Posts","Visa Antal Inlägg"
"Post IDs","Inläggs-ID:n"
"Please indicate post IDs (separated by comma) you want to display.","Vänligen ange inläggs-ID (separerade med komma) som du vill visa."
"Custom HTML","Anpassad HTML"
"Custom HTML 2","Anpassad HTML 2"
"Auto-redirect to No-Slash URL","Omdirigera Automatiskt Till URL Utan-Snedstreck"
"Post URL Suffix","Inlägg URL Suffix"
"Use Categories Path for Post URLs","Använd Kategorisökväg för Inlägg URL:er"
"Use Parent Category Path for Category URLs","Använd Sökväg för Föräldrakategori för kategori-URL:er"
"Tag URL Suffix","Tagg URL Suffix"	
"Author URL Suffix","Författare URL Suffix"
"Use Canonical Link Meta Tag For","Använd Kanonisk Meta Tagg Länk För"
"Include Blog Categories","Inkludera Bloggkategorier"
"Publish Date (default)","Utgivningsdatum (standard)"
"Featured Post Widget","Utvalda Inlägg Widget"
"Featured Blog Posts","Utvalda Blogg Inlägg"
"Use Magefan Blog Comments","Använd Magefan Blogg Kommentarer"
"All Blog Pages","Alla Bloggsidor"
"Blog Post Page","Blogg Inläggssida"
"Blog Category Page","Blogg Kategorisida"
"Blog Author Page","Blogg Författaresida"
"Blog Archive Page","Blogg Arkivsida"
"Blog Tag Page","Blogg Taggsida"
