"Add New Category","Nieuwe Categorie Toevoegen"
"Display Related Products","Toon Gerelateerde Producten"
"Number of Products","Aantal Producten"
Comments,Opmerkingen
"Number of Comments","Aantal Opmerkingen"
"Facebook Application ID","Facebook Applicatie ID"
"Preview and Next Post","Voorvertoning en Volgende Bericht"
"Display Prev. & Next Post Links","Toon Vorige. & Volgende Bericht Link."
"Post List","Berichten Lijst"
"Posts Per Page","Bericht Per Pagina"
"Use Lazy Loading","Gebruik Lazy Loading"
"Automatically load more posts on page.","Automatiche meerdere berichten per pagina laden."
"Auto Triger Padding (px)","Auto Triger Padding (px)"
Author,Auteur
"Display Author Information","Laat Auteur Informatie Zien"
"Display Post List By Author","Sorteer Berichten Lijst op Auteur"
Sidebar,Sidebar
"Search Form Widget","Zoek Formulier Widget"
"Categories Widget","Categorien Widget"
"Recent Posts Widget","Recente Berichten Widget"
"Posts Number","Bericht Nummer"
"Archive Widget","Archief Widget"
"Tag Claud Widget","Tag Cloud Widget"
"Rss Feed","Rss Feed"
"Feed Title","Feed Titel"
"Feed Description","Feed Beschrijving"
"Product Page","Produkt Pagina"
"Permalink Settings","Permalink Instelling"
"Blog Route","Blog Route"
"Permalink Type","Permalink Type"
"Post Route","Plaats Route"
"Category Route","Categorie Route"
"Archive Route","Archief Route"
"Tag Route","Tag Route"
"Author Route","Auteurs Route"
"Search Route","Zoek Route"
Social,Sociaal
"AddThis Enabled","Inschakelen Toevoegen"
"AddThis ID","Dit ID Toevoegen"
"AddThis Language","Deze Taal Toevoegen"
"Category Top Navigation","Categorie Top Navigatie"
"Display Blog Link","Toon Blog link"
"Blog Category","Blog Categorie"
"Leave blank to display posts from all categories.","Leeg laten om berichten van alle categorien te tonen."
"Custom Template","Custom Template"
Published,Gepubliceerd
"Category Information","Categorie Informatie"
"Enable Category","Activeer Categorie"
"Category Title","Categorie Titel"
"Category in Websites","Categorie in Websites"
"-- Please Select --","-- Selecteer --"
"Tag Title","Tag Titel"
"Post Information","Bericht Informatie"
"Enable Post","Activeer Bericht"
"Post Title","Bericht Titel"
"New Category","Nieuwe Categorie"
"Additional Options","Extra Opties"
"Featured Image","Uitgelichte Afbeelding"
"Publish Date","Publicatiedatum"
"New Tag","Nieuwe Tag"
"Open Graph Metadata","Open Graph Metadata"
"OG Title","OG Titel"
"Leave blank to use Meta Title by default.","Leeg laten om Meta Titel als standaard te gebruiken."
"OG Description","OG Beschrijving"
"Leave blank to use Meta Description by default.","Leeg laten om Meta Beschrijving als standaard te gebruiken."
"OG Image","OG Image"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Leeg laten om uitgelichte afbeelding als standaard te gebruiken. Toegestane afbeeldings typen: jpg, jpeg, gif, png."
"OG Type","OG Type"
"Leave blank to use ""article"" type by default.","Leeg laten om te gebruiken ""article"" standaard type."
"Post in Websites","Berichten in Websites"
"Related Posts and Products","Gerelateerde berichten en Producten"
"Related posts are shown to customers in addition to the item the customer is looking at.","Gerelateerde berichten worden getoond aan klanten naast het item wat de klant bekijkt."
"Add Related Post","Voeg gerelateerd bericht toe"
"Add Related Posts","Voeg Gerelateerde berichten toe"
"Add Selected Posts","Voeg geselecteerde berichten toe"
"January","Januari"
"February","Februari"
"March","Maart"
"April","April"
"May","Mei"
"June","Juni"
"July","Juli"
"August","Augustus"
"September","September"
"October","Oktober"
"November","November"
"December","December"
"Jan","Jan"
"Feb","Feb"
"Mar","Maart"
"Apr","Apr"
"May","Mei"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Okt"
"Nov","Nov"
"Dec","Dec"
