Add New Category,Přidat novou kategorii
Auto Triger Padding (px),Auto Triger Padding (px)
Author,Autor
Display Author Information,Zobrazit informace o autorovi
Display Post List By Author,Zobrazit seznam příspěvků podle autora
Sidebar,Postranní panel
Search Form Widget,Widget vyhledávacího formuláře
Categories Widget,Widget Kategorie
Recent Posts Widget,Widget posledních příspěvků
Posts Number,Číslo příspěvků
Archive Widget,Widget pro archivaci
Tag Claud Widget,Tag Claud Widget
Rss Feed,RSS zdroj
Feed Title,Název zdroje
Feed Description,Popis zdroje
Product Page,Stránka produktu
Permalink Settings,Nastavení trvalého odkazu
Blog Route,Cesta blogu
Permalink Type,Typ trvalého odkazu
Post Route,Cesta příspěvku
Category Route,Cesta Kategorie
Archive Route,Cesta archivu
Tag Route,Cesta tagu
Author Route,Cesta autora
Search Route,Hledat trasu
Social,Sociální
AddThis Enabled,AddThis Zapnuto
AddThis ID,AddThis ID
AddThis Language,AddThis Jazyk
Category Top Navigation,Kategorie Navigace nahoře
Display Blog Link,Zobrazit odkaz na blog
Blog Category,Kategorie blogu
Leave blank to display posts from all categories.,"Chcete-li zobrazit příspěvky ze všech kategorií, ponechte prázdné."
Custom Template,Vlastní šablona
Published,Publikováno
Category Information,Informace o kategorii
Enable Category,Povolit kategorii
Category Title,Název kategorie
Category in Websites,Kategorie na webových stránkách
-- Please Select --,-- Prosím vyberte --
Tag Title,Název tagu
Post Information,Informace o příspěvku
Enable Post,Povolit příspěvek
Post Title,Název příspěvku
New Category,Nová kategorie
Additional Options,Další možnosti
Featured Image,Vybraný obrázek
Publish Date,Datum zveřejnění
New Tag,Nová značka
Open Graph Metadata,Open Graph Metadata
OG Title,OG Název
Leave blank to use Meta Title by default.,"Chcete-li jako výchozí použít metanázev, ponechte prázdné."
OG Description,OG Popis
Leave blank to use Meta Description by default.,"Chcete-li ve výchozím nastavení použít popis metadat, ponechte prázdné."
OG Image,OG Obrázek
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Chcete-li jako výchozí použít vybraný obrázek, ponechte prázdné. Povolit typ obrázku: jpg, jpeg, gif, png."
OG Type,OG Typ
"Leave blank to use ""article"" type by default.","Chcete-li jako výchozí použít typ ""článek"", ponechte prázdné."
Post in Websites,Příspěvek na webových stránkách
Related Posts and Products,Související příspěvky a produkty
Related posts are shown to customers in addition to the item the customer is looking at.,"Související příspěvky se zákazníkům zobrazují kromě položky, kterou si zákazník prohlíží."
Add Related Post,Přidat související příspěvek
Add Related Posts,Přidat související příspěvky
Add Selected Posts,Přidat vybrané příspěvky
January,Leden
February,Únor
March,Březen
April,Duben
May,Květen
June,Červen
July,Červenec
August,Srpen
September,Září
October,Říjen
November,Listopad
December,Prosinec
Jan,Led
Feb,Úno
Mar,Bře
Apr,Dub
May,Kvě
Jun,Črn
Jul,Črc
Aug,Srp
Sep,Zář
Oct,Říj
Nov,Lis
Dec,Pro
Reply,Odpovědět
Show more replies in this thread,Zobrazit více odpovědí v tomto vláknu
%1 Comment(s),%1 komentářů
Add a comment...,Přidat komentář...
Add a reply...,Přidat odpověď...
Sign in to add a comment...,"Chcete-li přidat komentář, přihlaste se..."
Sign in to add a reply...,"Chcete-li přidat odpověď, přihlaste se..."
Full Name,Celé jméno
Load more comments,Načíst další komentáře
Login to submit comment,"Chcete-li odeslat komentář, přihlaste se"
You cannot post comment. Blog post is not longer exist.,Nemůžete přidat komentář. Blogový příspěvek již neexistuje.
You cannot reply to this comment. Comment is not longer exist.,Na tento komentář nemůžete odpovědět. Komentář již neexistuje.
You cannot reply to this comment.,Na tento komentář nemůžete odpovědět.
You submitted your comment for moderation.,Odeslali jste svůj komentář k moderování.
Thank you for your comment.,Děkuji za váš komentář.
Import Categories,Importovat kategorie
Import Comments,Importovat komentáře
Import Posts,Importovat příspěvky
Import from aheadWorks Blog Extension,Importovat z rozšíření blogu aheadWorks
Import from Joomla,Import z Joomly
Import from Blogger.com,Import z Blogger.com
Import from Drupal,Import z Drupalu
Import from CSV,Import z CSV
Import from XML,Import z XML
"Yes, I have read the %1 and agree to the processing of my personal data.","Ano, přečetl jsem %1 a souhlasím se zpracováním mých osobních údajů."
privacy policy,zásady ochrany osobních údajů
